id,category,item,price,rating,reviews,url
B0DBHN7WSN,Appliances,"Nugget Ice Makers Countertop with Soft Chewable Pellet Ice, 7 Mins Ice Making, 35.5Lbs/24Hrs, Pebble Ice Maker Machine with Self-Cleaning/Ice Basket/Ice Scoop for Home/Office/Bar, Black4.2 out of 5 stars1,22016 offers from$84.64",Not Found,4.2 out of 5 stars,"1,220",https://www.amazon.com/product-reviews/B0DBHN7WSN/ref=zg_bs_g_appliances_d_sccl_26_cr/000-0000000-0000000
B09HJSQKCW,Appliances,"Igloo Electric Countertop Ice Maker Machine - Automatic and Portable - 33 Pounds in 24 Hours - Ice Cube Maker - Ice Scoop and Basket - Ideal for Iced Coffee and Cocktails - Black4.1 out of 5 stars15,2767 offers from$70.63",Not Found,4.1 out of 5 stars,"15,276",https://www.amazon.com/product-reviews/B09HJSQKCW/ref=zg_bs_g_appliances_d_sccl_27_cr/000-0000000-0000000
B0C2GPVLHS,Appliances,"Mojoco Portable Clothes Dryer for Apartment, RV, Travel - Premium Mini Machine for Light Clothes, Underwear, Baby Clothes - Quick and Easy to Use Small/Compact Dryer4.3 out of 5 stars3206 offers from$41.96",Not Found,4.3 out of 5 stars,320,https://www.amazon.com/product-reviews/B0C2GPVLHS/ref=zg_bs_g_appliances_d_sccl_28_cr/000-0000000-0000000
B0964BF4N7,Appliances,"GE Profile Opal 2.0 with 0.75 Gallon Tank, Chewable Crunchable Countertop Nugget Ice Maker, Scoop included, 38 lbs in 24 hours, Pellet Ice Machine with WiFi & Smart Connected, Stainless Steel3.8 out of 5 stars4,2319 offers from$348.04",Not Found,3.8 out of 5 stars,"4,231",https://www.amazon.com/product-reviews/B0964BF4N7/ref=zg_bs_g_appliances_d_sccl_29_cr/000-0000000-0000000
B0D3GV1VQS,Appliances,"EUHOMY Ice Maker Countertop, Portable Ice Machine with Carry Handle, 26.5lbs Per Day, 9 Cubes in 6 Mins, Auto-Cleaning, with Basket and Scoop, for Home, Kitchen, Camping, RV (Silver)4.4 out of 5 stars6956 offers from$40.98",Not Found,4.4 out of 5 stars,695,https://www.amazon.com/product-reviews/B0D3GV1VQS/ref=zg_bs_g_appliances_d_sccl_30_cr/000-0000000-0000000
B0CTCD3GGL,Appliances,"EUHOMY Nugget Ice Makers Countertop, Pebble Ice Maker Machine with 35lbs/24H Soft Ice, Self-Cleaning Sonic Ice Maker with Ice Scoop&Basket, Pellet Ice Maker for Home/Kitchen/Office(Stainless Steels)4.0 out of 5 stars1,0365 offers from$127.61",Not Found,4.0 out of 5 stars,"1,036",https://www.amazon.com/product-reviews/B0CTCD3GGL/ref=zg_bs_g_appliances_d_sccl_1_cr/000-0000000-0000000
B0924J3XJ5,Appliances,"Comfee' CVU30W2AST 30 Inch Ducted Ductless Vent Durable Stainless Steel Kitchen Reusable Filter, 200 CFM, 2 Speed Exhaust Fan Under Cabinet Range Hood4.2 out of 5 stars1,7787 offers from$63.32",Not Found,4.2 out of 5 stars,"1,778",https://www.amazon.com/product-reviews/B0924J3XJ5/ref=zg_bs_g_appliances_d_sccl_2_cr/000-0000000-0000000
B0B498C643,Appliances,"ecozy Portable Countertop Ice Maker - 9 Ice Cubes in 6 Minutes, 26 lbs Daily Output, Self-Cleaning with Ice Bags, Scoop, and Basket for Kitchen, Office, Bar, Party - Black4.3 out of 5 stars4,7304 offers from$55.29",Not Found,4.3 out of 5 stars,"4,730",https://www.amazon.com/product-reviews/B0B498C643/ref=zg_bs_g_appliances_d_sccl_3_cr/000-0000000-0000000
B09QCJ6TDZ,Appliances,"COMFEE' Portable Mini Dishwasher Countertop with 5L Built-in Water Tank for Apartments& RVs, No Hookup Needed, 6 Programs, 360° Dual Spray, 162℉ High-Temp& Air-Dry Function4.1 out of 5 stars6,99516 offers from$199.38",Not Found,4.1 out of 5 stars,"6,995",https://www.amazon.com/product-reviews/B09QCJ6TDZ/ref=zg_bs_g_appliances_d_sccl_4_cr/000-0000000-0000000
B01N68XF0O,Appliances,"Scrubba Wash Bag Portable Washing Machine - Lightweight Manual Washing Machine for Travel, Camping, Laundry, Baby Clothes - Travel Essentials, Gift - use with Laundry Detergent/Sheets - 5.3 oz.4.4 out of 5 stars2,7841 offer from$55.00",Not Found,4.4 out of 5 stars,"2,784",https://www.amazon.com/product-reviews/B01N68XF0O/ref=zg_bs_g_appliances_d_sccl_5_cr/000-0000000-0000000
